panel,writer_step,arm,suite,task_id,init_state_id,language,success,steps,wall_seconds,split_role,env_seed,policy_seed_root,policy_noise_draws,condition_id,selection_mode,selection_seed,video_ordinal,language_global_task_id,used_video_global_task_id,used_video_suite,used_video_task_id,teacher_demo_indices,paired_correct_demos,paired_other_demos,video_raw_frame_count,video_sampled_frame_count,single_complete_rank16,writer_invocations,panel_integrity_passed
cross_episode_correct_200,200,correct,libero_10,1,0,put both the cream cheese box and the butter in the basket,1,477,180.64180488791317,validation,7,7,96,task_31_demos_47,per_init_ordinal,20260911,0,31,31,libero_10,1,[47],[47],[14],256,52,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,1,put both the cream cheese box and the butter in the basket,0,520,198.14130896888673,validation,7,7,104,task_31_demos_09,per_init_ordinal,20260911,1,31,31,libero_10,1,[9],[9],[26],257,53,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,2,put both the cream cheese box and the butter in the basket,0,520,179.79441632702947,validation,7,7,104,task_31_demos_03,per_init_ordinal,20260911,2,31,31,libero_10,1,[3],[3],[20],288,59,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,3,put both the cream cheese box and the butter in the basket,0,520,159.1901564737782,validation,7,7,104,task_31_demos_32,per_init_ordinal,20260911,3,31,31,libero_10,1,[32],[32],[49],246,50,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,4,put both the cream cheese box and the butter in the basket,0,520,164.456997663714,validation,7,7,104,task_31_demos_15,per_init_ordinal,20260911,4,31,31,libero_10,1,[15],[15],[32],254,52,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,5,put both the cream cheese box and the butter in the basket,1,412,129.93348198384047,validation,7,7,83,task_31_demos_18,per_init_ordinal,20260911,5,31,31,libero_10,1,[18],[18],[35],258,53,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,6,put both the cream cheese box and the butter in the basket,0,520,163.6392930308357,validation,7,7,104,task_31_demos_34,per_init_ordinal,20260911,6,31,31,libero_10,1,[34],[34],[1],278,57,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,7,put both the cream cheese box and the butter in the basket,1,406,136.6178680146113,validation,7,7,82,task_31_demos_11,per_init_ordinal,20260911,7,31,31,libero_10,1,[11],[11],[28],250,51,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,8,put both the cream cheese box and the butter in the basket,0,520,163.91184936556965,validation,7,7,104,task_31_demos_31,per_init_ordinal,20260911,8,31,31,libero_10,1,[31],[31],[48],234,48,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,9,put both the cream cheese box and the butter in the basket,1,315,96.82541193533689,validation,7,7,63,task_31_demos_45,per_init_ordinal,20260911,9,31,31,libero_10,1,[45],[45],[12],252,52,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,10,put both the cream cheese box and the butter in the basket,0,520,164.9795900536701,validation,7,7,104,task_31_demos_49,per_init_ordinal,20260911,10,31,31,libero_10,1,[49],[49],[16],254,52,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,11,put both the cream cheese box and the butter in the basket,1,354,111.39097823388875,validation,7,7,71,task_31_demos_28,per_init_ordinal,20260911,11,31,31,libero_10,1,[28],[28],[45],263,54,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,12,put both the cream cheese box and the butter in the basket,0,520,187.86473883129656,validation,7,7,104,task_31_demos_39,per_init_ordinal,20260911,12,31,31,libero_10,1,[39],[39],[6],271,55,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,13,put both the cream cheese box and the butter in the basket,1,371,156.12674413714558,validation,7,7,75,task_31_demos_43,per_init_ordinal,20260911,13,31,31,libero_10,1,[43],[43],[10],284,58,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,14,put both the cream cheese box and the butter in the basket,1,503,173.59811196662486,validation,7,7,101,task_31_demos_12,per_init_ordinal,20260911,14,31,31,libero_10,1,[12],[12],[29],257,53,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,15,put both the cream cheese box and the butter in the basket,0,520,157.8649496724829,validation,7,7,104,task_31_demos_38,per_init_ordinal,20260911,15,31,31,libero_10,1,[38],[38],[5],258,53,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,16,put both the cream cheese box and the butter in the basket,1,397,132.44893877394497,validation,7,7,80,task_31_demos_35,per_init_ordinal,20260911,16,31,31,libero_10,1,[35],[35],[2],282,58,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,17,put both the cream cheese box and the butter in the basket,0,520,158.4987012296915,validation,7,7,104,task_31_demos_33,per_init_ordinal,20260911,17,31,31,libero_10,1,[33],[33],[0],247,51,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,18,put both the cream cheese box and the butter in the basket,0,520,162.23801661562175,validation,7,7,104,task_31_demos_42,per_init_ordinal,20260911,18,31,31,libero_10,1,[42],[42],[9],255,52,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,19,put both the cream cheese box and the butter in the basket,0,520,157.25863723549992,validation,7,7,104,task_31_demos_24,per_init_ordinal,20260911,19,31,31,libero_10,1,[24],[24],[41],247,51,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,20,put both the cream cheese box and the butter in the basket,1,506,159.077512383461,validation,7,7,102,task_31_demos_21,per_init_ordinal,20260911,20,31,31,libero_10,1,[21],[21],[38],252,52,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,21,put both the cream cheese box and the butter in the basket,1,439,129.08348922710866,validation,7,7,88,task_31_demos_23,per_init_ordinal,20260911,21,31,31,libero_10,1,[23],[23],[40],272,56,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,22,put both the cream cheese box and the butter in the basket,0,520,163.59604846592993,validation,7,7,104,task_31_demos_02,per_init_ordinal,20260911,22,31,31,libero_10,1,[2],[2],[19],246,50,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,23,put both the cream cheese box and the butter in the basket,1,392,121.23264347109944,validation,7,7,79,task_31_demos_48,per_init_ordinal,20260911,23,31,31,libero_10,1,[48],[48],[15],258,53,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,24,put both the cream cheese box and the butter in the basket,0,520,186.3582428395748,validation,7,7,104,task_31_demos_00,per_init_ordinal,20260911,24,31,31,libero_10,1,[0],[0],[17],258,53,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,25,put both the cream cheese box and the butter in the basket,0,520,195.25636844988912,validation,7,7,104,task_31_demos_07,per_init_ordinal,20260911,25,31,31,libero_10,1,[7],[7],[24],247,51,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,26,put both the cream cheese box and the butter in the basket,0,520,176.3340068338439,validation,7,7,104,task_31_demos_37,per_init_ordinal,20260911,26,31,31,libero_10,1,[37],[37],[4],237,49,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,27,put both the cream cheese box and the butter in the basket,1,378,116.2763146860525,validation,7,7,76,task_31_demos_04,per_init_ordinal,20260911,27,31,31,libero_10,1,[4],[4],[21],244,50,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,28,put both the cream cheese box and the butter in the basket,0,520,161.69182001892477,validation,7,7,104,task_31_demos_20,per_init_ordinal,20260911,28,31,31,libero_10,1,[20],[20],[37],271,55,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,29,put both the cream cheese box and the butter in the basket,1,519,157.0148141477257,validation,7,7,104,task_31_demos_25,per_init_ordinal,20260911,29,31,31,libero_10,1,[25],[25],[42],244,50,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,30,put both the cream cheese box and the butter in the basket,0,520,160.72305945958942,validation,7,7,104,task_31_demos_46,per_init_ordinal,20260911,30,31,31,libero_10,1,[46],[46],[13],242,50,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,31,put both the cream cheese box and the butter in the basket,1,358,118.84826852194965,validation,7,7,72,task_31_demos_22,per_init_ordinal,20260911,31,31,31,libero_10,1,[22],[22],[39],260,53,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,32,put both the cream cheese box and the butter in the basket,0,520,160.70139134489,validation,7,7,104,task_31_demos_41,per_init_ordinal,20260911,32,31,31,libero_10,1,[41],[41],[8],249,51,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,33,put both the cream cheese box and the butter in the basket,0,520,139.40191163308918,validation,7,7,104,task_31_demos_40,per_init_ordinal,20260911,33,31,31,libero_10,1,[40],[40],[7],235,48,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,34,put both the cream cheese box and the butter in the basket,0,520,162.20279416628182,validation,7,7,104,task_31_demos_13,per_init_ordinal,20260911,34,31,31,libero_10,1,[13],[13],[30],272,56,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,35,put both the cream cheese box and the butter in the basket,0,520,143.7056892728433,validation,7,7,104,task_31_demos_16,per_init_ordinal,20260911,35,31,31,libero_10,1,[16],[16],[33],321,65,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,36,put both the cream cheese box and the butter in the basket,1,471,174.65642571263015,validation,7,7,95,task_31_demos_10,per_init_ordinal,20260911,36,31,31,libero_10,1,[10],[10],[27],310,63,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,37,put both the cream cheese box and the butter in the basket,1,380,155.24427226092666,validation,7,7,76,task_31_demos_17,per_init_ordinal,20260911,37,31,31,libero_10,1,[17],[17],[34],244,50,True,1,True
cross_episode_correct_200,200,correct,libero_10,1,38,put both the cream cheese box and the butter in the basket,0,520,174.75242938101292,validation,7,7,104,task_31_demos_06,per_init_ordinal,20260911,38,31,31,libero_10,1,[6],[6],[23],303,62,True,1,True
