suite,task_id,split_role,language,init_state_id,env_seed,policy_seed_root,policy_noise_seeds,success,steps,wall_seconds,finished_at,stage_predicates,occupancy_trajectory,horizon_writer_lora,asset,panel,global_task_id,old_writer_unseen_auxiliary,paired_teacher_demo
libero_spatial,3,validation,pick up the black bowl on the cookie box and place it on the plate,0,7,7,"[336169725590312743,567642240813974001,8354292684063646108,5334794776498519797,2040010150640505745,2343701475842438382,5412470899770061167,820364343317419064,5457482945389825552,2504491285362484018,7422502578034213173,5056665176767612485,2003354737360645143,8279383433696764486,4208196502484156673,8983410438659563528,2296803609333534892,2041091650467651175,7305716513144627935,7294937211943360544,8345237991230332652,7378017725889838708,8716448154690811246,5248443494691871216]",True,118,28.277568366844207,29.522954331710935,"{""ever_satisfied"":[true],""final_satisfied"":[true],""peak_satisfied_count"":1,""predicates"":[[""on"",""akita_black_bowl_1"",""plate_1""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":118}]}","{""bytes"":37863389,""path"":""<writer-stability-study>/rollouts/e1/O1200/trajectories/libero_spatial_task_03_state_000.pt"",""replans"":24}","{""asset"":""O1200"",""checkpoint_selection_use"":false,""global_task_id"":3,""init_state_id"":0,""outcome_dependence"":false,""schema_version"":""ember_writer_stability_rollout_condition_v1"",""suite"":""libero_spatial"",""task_id"":3,""teacher_demo"":0,""teacher_raw_frames"":99,""teacher_sampled_frames"":21,""test_use"":false}",O1200,common_held,3,False,0
libero_spatial,3,validation,pick up the black bowl on the cookie box and place it on the plate,1,7,7,"[3071172578146223952,2080936696745084643,5469435010854225470,2153244960118961693,6816072406336098585,1734556419457555794,7851340247296578549,4816167663840372196,4754548742721011271,9211355379407494252,137860901857221128,9090171750181843907,8119349483388016788,4891543561003366242,4473642343538525021,8364298704962546982,1629217563418473229,3290217260496827766,7629897306060874214,4742490323170293522,6404441703517424389,2964772810324140608,8627077584774895936,7067740256789030010,6096419447607542293,2421140236193322289,2141270493379617205,1010245111888233794,1882603917034485663,6807540081070718306,7958976321620515269,1353257216537134775,354288215576696133,7398095969472644875,5516130732246258088,3260659763272367547,9016830905651363263,9040689358250327078,3852222077895087847,733719658047369777,2215874165970119567,1228841508309924712,7446902625025060330,1614446166569296241]",False,220,40.76035043457523,43.139145030640066,"{""ever_satisfied"":[false],""final_satisfied"":[false],""peak_satisfied_count"":0,""predicates"":[[""on"",""akita_black_bowl_1"",""plate_1""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0}]}","{""bytes"":69415257,""path"":""<writer-stability-study>/rollouts/e1/O1200/trajectories/libero_spatial_task_03_state_001.pt"",""replans"":44}","{""asset"":""O1200"",""checkpoint_selection_use"":false,""global_task_id"":3,""init_state_id"":1,""outcome_dependence"":false,""schema_version"":""ember_writer_stability_rollout_condition_v1"",""suite"":""libero_spatial"",""task_id"":3,""teacher_demo"":1,""teacher_raw_frames"":101,""teacher_sampled_frames"":21,""test_use"":false}",O1200,common_held,3,False,1
libero_spatial,3,validation,pick up the black bowl on the cookie box and place it on the plate,2,7,7,"[6298054988284327818,6912635386658077700,383976089418881795,2587202063313400801,7021786076458083965,593234421942514120,8669872273799573751,5991206727220654679,3270751023889855435,8139016423407761104,4028834637132934680,4043526413053354951,8641375561554741217,7084097018260223068,3748824873657071406,2524451583669730806,2801126175072182625,5243106494803483929,1850557323821615607,3769967364146662180,5559034931446361638]",True,104,23.179371248930693,26.692699030973017,"{""ever_satisfied"":[true],""final_satisfied"":[true],""peak_satisfied_count"":1,""predicates"":[[""on"",""akita_black_bowl_1"",""plate_1""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":104}]}","{""bytes"":33130564,""path"":""<writer-stability-study>/rollouts/e1/O1200/trajectories/libero_spatial_task_03_state_002.pt"",""replans"":21}","{""asset"":""O1200"",""checkpoint_selection_use"":false,""global_task_id"":3,""init_state_id"":2,""outcome_dependence"":false,""schema_version"":""ember_writer_stability_rollout_condition_v1"",""suite"":""libero_spatial"",""task_id"":3,""teacher_demo"":2,""teacher_raw_frames"":95,""teacher_sampled_frames"":20,""test_use"":false}",O1200,common_held,3,False,2
libero_spatial,3,validation,pick up the black bowl on the cookie box and place it on the plate,3,7,7,"[5844883203585125168,5025841759868289392,3144194430178048546,4801875581304945847,468081466817769956,4734881704432230013,959494122824425653,1945541120257169749,6506988136844350673,1323002413188064283,1282348786779226374,6571566919880846274,5302843147758881824,8099844664203210874,4162119894034043737,5099925154081425737,6833960761683269512,7413558454919553786,3214155400790689838,8476036750337665618,5683741918122184492,3146513501583868712,5134754843935734534,7295903721501276154,6966475529449043799,964144398375903039,5537281316329676556,2570112512858642678,8253316964221879720,2000320299649689463,7363408069598897341,7244719144436028534,1277706102151985398,2882953250328450485,6809773225674697798,4961094627183306235,3601228802350205382,4033712914798725752,3897374095001332926,6898814568060512473,8284858137158279658,330857029533074500,6288659453853307531,4954602287269604115]",False,220,39.020715209655464,43.715697625651956,"{""ever_satisfied"":[false],""final_satisfied"":[false],""peak_satisfied_count"":0,""predicates"":[[""on"",""akita_black_bowl_1"",""plate_1""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0}]}","{""bytes"":69415257,""path"":""<writer-stability-study>/rollouts/e1/O1200/trajectories/libero_spatial_task_03_state_003.pt"",""replans"":44}","{""asset"":""O1200"",""checkpoint_selection_use"":false,""global_task_id"":3,""init_state_id"":3,""outcome_dependence"":false,""schema_version"":""ember_writer_stability_rollout_condition_v1"",""suite"":""libero_spatial"",""task_id"":3,""teacher_demo"":3,""teacher_raw_frames"":115,""teacher_sampled_frames"":24,""test_use"":false}",O1200,common_held,3,False,3
libero_object,1,validation,pick up the cream cheese and place it in the basket,0,7,7,"[1764210406108741574,3836588974318758825,7971256763961264857,8172640194079971334,5109217772215900344,8127657125412314075,41127862791718870,2618195653838822282,3945879615897659047,4807547919112120522,1806370725723135070,4513106148028486545,6319195100526623892,5370509103018043559,6498526979093454720,902687379068510851,2376500793543191942,8621046406545839782,2246205218069956362,7429359954569227064,7884868446968348240,2227676743794273877,5070154547901706858,3669414435821318416,8848835830760864689,7729708896664410211,4633559183066694126,5327164714405199684,6226991016291009180,2221326210433340297,8768033716272618626,6311534387210060068,9171459359667105102,5965569251769123100,2718805684633866035,1662410874903997488,2840173522319229163,8834241311588677320,709069421190859722,8185886960346710137,2565064801153509063,2146060320521951229,3378153110170898822,7385328994146981193,8294308961245227333,7748112701127134785,1222607689681150287,7810936987716744765,6223054982931328978,2849878694155472255,5689168034346384828,6021205596517041981,4246825136001754053,6289302386715038045,150229824189971838,6768940658213660908]",False,280,39.59195711603388,40.5000728610903,"{""ever_satisfied"":[false],""final_satisfied"":[false],""peak_satisfied_count"":0,""predicates"":[[""in"",""cream_cheese_1"",""basket_1_contain_region""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0}]}","{""bytes"":88346143,""path"":""<writer-stability-study>/rollouts/e1/O1200/trajectories/libero_object_task_01_state_000.pt"",""replans"":56}","{""asset"":""O1200"",""checkpoint_selection_use"":false,""global_task_id"":11,""init_state_id"":0,""outcome_dependence"":false,""schema_version"":""ember_writer_stability_rollout_condition_v1"",""suite"":""libero_object"",""task_id"":1,""teacher_demo"":0,""teacher_raw_frames"":139,""teacher_sampled_frames"":29,""test_use"":false}",O1200,common_held,11,False,0
libero_object,1,validation,pick up the cream cheese and place it in the basket,1,7,7,"[7420547635691626371,501823346460184892,2808280276510186011,9125043344243611695,403813749669296451,1407366998281182077,2209299523064019634,1728017030491187931,2513642288712647512,1447387066432853060,4693224407500016404,1737625573879917920,6067103784603218004,4875182151779258051,546466106271624807,9047002785452638602,7742191438442415817,8024174060520581936,5799993939873865180,1334774698373763792,3129131042550033500,2753095723835555029,3433300564092773732,2301348941678342198,7241566034470681974,1595137328551950185]",True,130,25.03167935088277,26.94274441804737,"{""ever_satisfied"":[true],""final_satisfied"":[true],""peak_satisfied_count"":1,""predicates"":[[""in"",""cream_cheese_1"",""basket_1_contain_region""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":130}]}","{""bytes"":41018427,""path"":""<writer-stability-study>/rollouts/e1/O1200/trajectories/libero_object_task_01_state_001.pt"",""replans"":26}","{""asset"":""O1200"",""checkpoint_selection_use"":false,""global_task_id"":11,""init_state_id"":1,""outcome_dependence"":false,""schema_version"":""ember_writer_stability_rollout_condition_v1"",""suite"":""libero_object"",""task_id"":1,""teacher_demo"":1,""teacher_raw_frames"":187,""teacher_sampled_frames"":39,""test_use"":false}",O1200,common_held,11,False,1
libero_object,1,validation,pick up the cream cheese and place it in the basket,2,7,7,"[3515262128279278940,1224036772478655973,478293637689251682,3540847092953613223,4328413232641629785,6811305769457963913,7493268904500544434,8083105539726185730,8414072237268020580,1893592179093710111,2488153855796920192,1554986030321788607,4047939611339120474,4102179388848657701,1147138887996013605,3863494293313979635,6193003831111729703,1626172842785393201,2904614765474486566,3655373432879583266,6106723134634969432,1530641680022518864,5299007373251733956,1776309024967508017,5554150453191670933,3588510541056688845,666834990498619419,3102760675369552907,6023898576793354574,402930942210347881,2078320372986288529]",True,154,27.154432537965477,30.016366475261748,"{""ever_satisfied"":[true],""final_satisfied"":[true],""peak_satisfied_count"":1,""predicates"":[[""in"",""cream_cheese_1"",""basket_1_contain_region""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":154}]}","{""bytes"":48906401,""path"":""<writer-stability-study>/rollouts/e1/O1200/trajectories/libero_object_task_01_state_002.pt"",""replans"":31}","{""asset"":""O1200"",""checkpoint_selection_use"":false,""global_task_id"":11,""init_state_id"":2,""outcome_dependence"":false,""schema_version"":""ember_writer_stability_rollout_condition_v1"",""suite"":""libero_object"",""task_id"":1,""teacher_demo"":2,""teacher_raw_frames"":125,""teacher_sampled_frames"":26,""test_use"":false}",O1200,common_held,11,False,2
libero_object,1,validation,pick up the cream cheese and place it in the basket,3,7,7,"[813647924528887858,5351092081399935768,7442759767410944757,7892859586617915780,5301498965079906004,289562166806627740,613859540680986132,5058023941821712151,2146080548017320215,4214456032801721274,170807808573357750,1310651860523142851,3541140102953400097,6731585121498890393,2349060069222585986,5878971007946073140,3254469291135872673,6844594369008655041,7399228462889035073,4950579294597892399,5327087292628972889,3432113250942763909,2244704256273282836,2977310641305390391,5486701027510805187,9080072422516330697]",True,127,21.98837304022163,25.885824530385435,"{""ever_satisfied"":[true],""final_satisfied"":[true],""peak_satisfied_count"":1,""predicates"":[[""in"",""cream_cheese_1"",""basket_1_contain_region""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":127}]}","{""bytes"":41018427,""path"":""<writer-stability-study>/rollouts/e1/O1200/trajectories/libero_object_task_01_state_003.pt"",""replans"":26}","{""asset"":""O1200"",""checkpoint_selection_use"":false,""global_task_id"":11,""init_state_id"":3,""outcome_dependence"":false,""schema_version"":""ember_writer_stability_rollout_condition_v1"",""suite"":""libero_object"",""task_id"":1,""teacher_demo"":3,""teacher_raw_frames"":133,""teacher_sampled_frames"":28,""test_use"":false}",O1200,common_held,11,False,3
libero_goal,3,validation,open the top drawer and put the bowl inside,0,7,7,"[937839512312767824,4425858584106371442,6915917327766178298,4221423508686152199,3941615210140189942,3061062777614262148,9006389347840838038,2714739585893921145,4842815510074203473,4176247365749439794,9055016387064939296,6894264475206989069,4769433583706684081,6538724259617072713,2694945300226562235,5672636660806689923,1162397645855720894,2512104657228609621,4908619852555458086,4891195624735059747,3439016452326339617,145136483130657948,696498549386812565,2992054586286465856,3926950764540793138,6507613130119470566,4080680387252510580,6715602020508326751,7642159240538864546,2069708313452146818,188106194283429132,79620779218141805,8773913044132373383,4191565715618410953,8743402847540423751,5590073037340929701,7241093063639031331,5018097501510259896,325742820322205827,6790062175884206903,2835421247772191586,8101575360401988141,5181871320322691538,8606750524966542306,3331683226074686545,5172080302879563560,2825910257597671870,3780878403490109137,8179159796621748406,5745966183204672563,3735878833795123278,1646812211375849777,3720899738953625933,1974282862992389720,8969384801637140932,5027800807028014172,1765993208659774829,6213274053297936353,5493561834532839429,254459356985422351]",False,300,54.26211744360626,55.11295548686758,"{""ever_satisfied"":[false],""final_satisfied"":[false],""peak_satisfied_count"":0,""predicates"":[[""in"",""akita_black_bowl_1"",""wooden_cabinet_1_top_region""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0}]}","{""bytes"":94655859,""path"":""<writer-stability-study>/rollouts/e1/O1200/trajectories/libero_goal_task_03_state_000.pt"",""replans"":60}","{""asset"":""O1200"",""checkpoint_selection_use"":false,""global_task_id"":23,""init_state_id"":0,""outcome_dependence"":false,""schema_version"":""ember_writer_stability_rollout_condition_v1"",""suite"":""libero_goal"",""task_id"":3,""teacher_demo"":0,""teacher_raw_frames"":170,""teacher_sampled_frames"":35,""test_use"":false}",O1200,common_held,23,False,0
libero_goal,3,validation,open the top drawer and put the bowl inside,1,7,7,"[3197873696265518430,130333309193225715,6005625632286712244,6891299773450141553,6316928474543642721,5782284817944748443,213403443156412135,8338126146057510912,8375039331177840430,5827566456674324647,3313818679469215879,1142143462369407560,6857946106089777856,2208331655601664324,6082415799267276139,6483019239393974105,1605018948802503533,3968192620193769583,862384892645987447,8742088714719043014,4093144800324367496,3618106106009942716,7222849419045868975,5480139628080962798,8959878553153613783,5141614978164902045,4058195969577011985,5969135446805434144,5972420222077590396,2477065601344244086,5214798992736474054,524972909364957767,6427034895024028522,4321813080947567738,233872811589524403,7962977660191025978,4154326755793972085,5024963065885040905,7583862141991692337,9148484250809282782,4716098172630043820,5342661847094755523,4186729145604779780,8840721256628781736,3957995690749672627,6833841353575794482,150833597163379549,6124511566606868997,8845799573673075170,9049197323682587092,6513134499526687462,2125577121787463032,7513831563121663967,2861950398204209577,5611576820951415884,4836419612523764618,5739862684315359388,2977527315973693273,1363998237546904426,1401717210297836187]",False,300,54.23657231917605,55.8558342452161,"{""ever_satisfied"":[false],""final_satisfied"":[false],""peak_satisfied_count"":0,""predicates"":[[""in"",""akita_black_bowl_1"",""wooden_cabinet_1_top_region""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0}]}","{""bytes"":94655859,""path"":""<writer-stability-study>/rollouts/e1/O1200/trajectories/libero_goal_task_03_state_001.pt"",""replans"":60}","{""asset"":""O1200"",""checkpoint_selection_use"":false,""global_task_id"":23,""init_state_id"":1,""outcome_dependence"":false,""schema_version"":""ember_writer_stability_rollout_condition_v1"",""suite"":""libero_goal"",""task_id"":3,""teacher_demo"":1,""teacher_raw_frames"":187,""teacher_sampled_frames"":39,""test_use"":false}",O1200,common_held,23,False,1
