arm,suite,task_id,global_task_id,language,init_state_id,env_seed,policy_seed_root,success,steps,wall_seconds,final_satisfied_count,ever_satisfied_count,peak_satisfied_count,predicate_count,stage_predicates
O1200,libero_spatial,3,3,pick up the black bowl on the cookie box and place it on the plate,0,7,7,True,118,28.277568366844207,1,1,1,1,"{""ever_satisfied"":[true],""final_satisfied"":[true],""peak_satisfied_count"":1,""predicates"":[[""on"",""akita_black_bowl_1"",""plate_1""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":118}]}"
O1200,libero_spatial,3,3,pick up the black bowl on the cookie box and place it on the plate,1,7,7,False,220,40.76035043457523,0,0,0,1,"{""ever_satisfied"":[false],""final_satisfied"":[false],""peak_satisfied_count"":0,""predicates"":[[""on"",""akita_black_bowl_1"",""plate_1""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0}]}"
O1200,libero_spatial,3,3,pick up the black bowl on the cookie box and place it on the plate,2,7,7,True,104,23.179371248930693,1,1,1,1,"{""ever_satisfied"":[true],""final_satisfied"":[true],""peak_satisfied_count"":1,""predicates"":[[""on"",""akita_black_bowl_1"",""plate_1""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":104}]}"
O1200,libero_spatial,3,3,pick up the black bowl on the cookie box and place it on the plate,3,7,7,False,220,39.020715209655464,0,0,0,1,"{""ever_satisfied"":[false],""final_satisfied"":[false],""peak_satisfied_count"":0,""predicates"":[[""on"",""akita_black_bowl_1"",""plate_1""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0}]}"
O1200,libero_object,1,11,pick up the cream cheese and place it in the basket,0,7,7,False,280,39.59195711603388,0,0,0,1,"{""ever_satisfied"":[false],""final_satisfied"":[false],""peak_satisfied_count"":0,""predicates"":[[""in"",""cream_cheese_1"",""basket_1_contain_region""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0}]}"
O1200,libero_object,1,11,pick up the cream cheese and place it in the basket,1,7,7,True,130,25.03167935088277,1,1,1,1,"{""ever_satisfied"":[true],""final_satisfied"":[true],""peak_satisfied_count"":1,""predicates"":[[""in"",""cream_cheese_1"",""basket_1_contain_region""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":130}]}"
O1200,libero_object,1,11,pick up the cream cheese and place it in the basket,2,7,7,True,154,27.154432537965477,1,1,1,1,"{""ever_satisfied"":[true],""final_satisfied"":[true],""peak_satisfied_count"":1,""predicates"":[[""in"",""cream_cheese_1"",""basket_1_contain_region""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":154}]}"
O1200,libero_object,1,11,pick up the cream cheese and place it in the basket,3,7,7,True,127,21.98837304022163,1,1,1,1,"{""ever_satisfied"":[true],""final_satisfied"":[true],""peak_satisfied_count"":1,""predicates"":[[""in"",""cream_cheese_1"",""basket_1_contain_region""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":127}]}"
O1200,libero_goal,6,26,put the cream cheese in the bowl,0,7,7,True,100,20.549061961937696,1,1,1,1,"{""ever_satisfied"":[true],""final_satisfied"":[true],""peak_satisfied_count"":1,""predicates"":[[""on"",""cream_cheese_1"",""akita_black_bowl_1""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":100}]}"
O1200,libero_goal,6,26,put the cream cheese in the bowl,1,7,7,True,118,23.158136308658868,1,1,1,1,"{""ever_satisfied"":[true],""final_satisfied"":[true],""peak_satisfied_count"":1,""predicates"":[[""on"",""cream_cheese_1"",""akita_black_bowl_1""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":118}]}"
O1200,libero_goal,6,26,put the cream cheese in the bowl,2,7,7,True,106,20.481292760930955,1,1,1,1,"{""ever_satisfied"":[true],""final_satisfied"":[true],""peak_satisfied_count"":1,""predicates"":[[""on"",""cream_cheese_1"",""akita_black_bowl_1""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":106}]}"
O1200,libero_goal,6,26,put the cream cheese in the bowl,3,7,7,True,109,20.191863473970443,1,1,1,1,"{""ever_satisfied"":[true],""final_satisfied"":[true],""peak_satisfied_count"":1,""predicates"":[[""on"",""cream_cheese_1"",""akita_black_bowl_1""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":109}]}"
O1200,libero_10,1,31,put both the cream cheese box and the butter in the basket,0,7,7,True,463,90.43100431375206,2,2,2,2,"{""ever_satisfied"":[true,true],""final_satisfied"":[true,true],""peak_satisfied_count"":2,""predicates"":[[""in"",""cream_cheese_1"",""basket_1_contain_region""],[""in"",""butter_1"",""basket_1_contain_region""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false,false],""step"":0},{""satisfied"":[false,true],""step"":293},{""satisfied"":[true,true],""step"":463}]}"
O1200,libero_10,1,31,put both the cream cheese box and the butter in the basket,1,7,7,True,411,76.91248941514641,2,2,2,2,"{""ever_satisfied"":[true,true],""final_satisfied"":[true,true],""peak_satisfied_count"":2,""predicates"":[[""in"",""cream_cheese_1"",""basket_1_contain_region""],[""in"",""butter_1"",""basket_1_contain_region""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false,false],""step"":0},{""satisfied"":[true,false],""step"":283},{""satisfied"":[true,true],""step"":411}]}"
