panel,suite,task_id,language,successes,episodes
writer/validation/correct,libero_10,1,put both the cream cheese box and the butter in the basket,26,50
writer/validation/correct,libero_10,9,put the yellow and white mug in the microwave and close it,0,50
writer/validation/correct,libero_goal,3,open the top drawer and put the bowl inside,0,50
writer/validation/correct,libero_goal,6,put the cream cheese in the bowl,44,50
writer/validation/correct,libero_object,1,pick up the cream cheese and place it in the basket,30,50
writer/validation/correct,libero_object,6,pick up the butter and place it in the basket,5,50
writer/validation/correct,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,11,50
writer/validation/correct,libero_spatial,6,pick up the black bowl next to the cookie box and place it on the plate,26,50
writer/validation/other,libero_10,1,put both the cream cheese box and the butter in the basket,20,50
writer/validation/other,libero_10,9,put the yellow and white mug in the microwave and close it,0,50
writer/validation/other,libero_goal,3,open the top drawer and put the bowl inside,0,50
writer/validation/other,libero_goal,6,put the cream cheese in the bowl,44,50
writer/validation/other,libero_object,1,pick up the cream cheese and place it in the basket,24,50
writer/validation/other,libero_object,6,pick up the butter and place it in the basket,4,50
writer/validation/other,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,15,50
writer/validation/other,libero_spatial,6,pick up the black bowl next to the cookie box and place it on the plate,25,50
writer/validation/wrong,libero_10,1,put both the cream cheese box and the butter in the basket,16,50
writer/validation/wrong,libero_10,9,put the yellow and white mug in the microwave and close it,0,50
writer/validation/wrong,libero_goal,3,open the top drawer and put the bowl inside,0,50
writer/validation/wrong,libero_goal,6,put the cream cheese in the bowl,46,50
writer/validation/wrong,libero_object,1,pick up the cream cheese and place it in the basket,23,50
writer/validation/wrong,libero_object,6,pick up the butter and place it in the basket,0,50
writer/validation/wrong,libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,2,50
writer/validation/wrong,libero_spatial,6,pick up the black bowl next to the cookie box and place it on the plate,18,50
