suite,task_id,init_state_id,language,reference_label,c600_success,reference_success,c600_steps,reference_steps,same_task_state,same_language,same_env_seed,same_policy_seed_root,policy_noise_prefix_equal,c600_policy_noise_draws,reference_policy_noise_draws,c600_panel_integrity_passed,reference_panel_integrity_passed,c600_arm,c600_suite,c600_task_id,c600_init_state_id,c600_language,c600_wall_seconds,c600_split_role,c600_env_seed,c600_policy_seed_root,c600_condition_id,c600_selection_mode,c600_selection_seed,c600_video_ordinal,c600_language_global_task_id,c600_used_video_global_task_id,c600_used_video_suite,c600_used_video_task_id,c600_teacher_demo_indices,c600_paired_correct_demos,c600_paired_other_demos,c600_video_raw_frame_count,c600_video_sampled_frame_count,c600_single_complete_rank16,c600_writer_invocations,reference_arm,reference_suite,reference_task_id,reference_init_state_id,reference_language,reference_wall_seconds,reference_split_role,reference_env_seed,reference_policy_seed_root,reference_condition_id,reference_selection_mode,reference_selection_seed,reference_video_ordinal,reference_language_global_task_id,reference_used_video_global_task_id,reference_used_video_suite,reference_used_video_task_id,reference_teacher_demo_indices,reference_paired_correct_demos,reference_paired_other_demos,reference_video_raw_frame_count,reference_video_sampled_frame_count,reference_single_complete_rank16,reference_writer_invocations
libero_10,1,0,put both the cream cheese box and the butter in the basket,same_task_other,0,0,520,520,True,True,True,True,True,104,104,True,True,correct,libero_10,1,0,put both the cream cheese box and the butter in the basket,184.09806050825864,validation,7,7,task_31_demos_47,per_init_ordinal,20260911,0,31,31,libero_10,1,[47],[47],[14],256,52,True,1,same_task_other,libero_10,1,0,put both the cream cheese box and the butter in the basket,187.3560005519539,validation,7,7,task_31_demos_14,per_init_ordinal,20260911,0,31,31,libero_10,1,[14],[47],[14],246,50,True,1
libero_10,1,1,put both the cream cheese box and the butter in the basket,same_task_other,0,0,520,520,True,True,True,True,True,104,104,True,True,correct,libero_10,1,1,put both the cream cheese box and the butter in the basket,190.38760935980827,validation,7,7,task_31_demos_09,per_init_ordinal,20260911,1,31,31,libero_10,1,[9],[9],[26],257,53,True,1,same_task_other,libero_10,1,1,put both the cream cheese box and the butter in the basket,204.04773449152708,validation,7,7,task_31_demos_26,per_init_ordinal,20260911,1,31,31,libero_10,1,[26],[9],[26],322,66,True,1
libero_10,1,2,put both the cream cheese box and the butter in the basket,same_task_other,1,0,336,520,True,True,True,True,True,68,104,True,True,correct,libero_10,1,2,put both the cream cheese box and the butter in the basket,112.59528587106615,validation,7,7,task_31_demos_03,per_init_ordinal,20260911,2,31,31,libero_10,1,[3],[3],[20],288,59,True,1,same_task_other,libero_10,1,2,put both the cream cheese box and the butter in the basket,150.01303431671113,validation,7,7,task_31_demos_20,per_init_ordinal,20260911,2,31,31,libero_10,1,[20],[3],[20],271,55,True,1
libero_10,1,3,put both the cream cheese box and the butter in the basket,same_task_other,1,1,271,291,True,True,True,True,True,55,59,True,True,correct,libero_10,1,3,put both the cream cheese box and the butter in the basket,84.89895335678011,validation,7,7,task_31_demos_32,per_init_ordinal,20260911,3,31,31,libero_10,1,[32],[32],[49],246,50,True,1,same_task_other,libero_10,1,3,put both the cream cheese box and the butter in the basket,90.52855088934302,validation,7,7,task_31_demos_49,per_init_ordinal,20260911,3,31,31,libero_10,1,[49],[32],[49],254,52,True,1
libero_10,1,4,put both the cream cheese box and the butter in the basket,same_task_other,0,1,520,388,True,True,True,True,True,104,78,True,True,correct,libero_10,1,4,put both the cream cheese box and the butter in the basket,160.9372600261122,validation,7,7,task_31_demos_15,per_init_ordinal,20260911,4,31,31,libero_10,1,[15],[15],[32],254,52,True,1,same_task_other,libero_10,1,4,put both the cream cheese box and the butter in the basket,127.0456234337762,validation,7,7,task_31_demos_32,per_init_ordinal,20260911,4,31,31,libero_10,1,[32],[15],[32],246,50,True,1
libero_10,1,5,put both the cream cheese box and the butter in the basket,same_task_other,1,1,480,313,True,True,True,True,True,96,63,True,True,correct,libero_10,1,5,put both the cream cheese box and the butter in the basket,151.99477200303227,validation,7,7,task_31_demos_18,per_init_ordinal,20260911,5,31,31,libero_10,1,[18],[18],[35],258,53,True,1,same_task_other,libero_10,1,5,put both the cream cheese box and the butter in the basket,97.7778368042782,validation,7,7,task_31_demos_35,per_init_ordinal,20260911,5,31,31,libero_10,1,[35],[18],[35],282,58,True,1
libero_10,1,6,put both the cream cheese box and the butter in the basket,same_task_other,1,1,276,485,True,True,True,True,True,56,97,True,True,correct,libero_10,1,6,put both the cream cheese box and the butter in the basket,85.17694646678865,validation,7,7,task_31_demos_34,per_init_ordinal,20260911,6,31,31,libero_10,1,[34],[34],[1],278,57,True,1,same_task_other,libero_10,1,6,put both the cream cheese box and the butter in the basket,148.3829435314983,validation,7,7,task_31_demos_01,per_init_ordinal,20260911,6,31,31,libero_10,1,[1],[34],[1],252,52,True,1
libero_10,1,7,put both the cream cheese box and the butter in the basket,same_task_other,0,0,520,520,True,True,True,True,True,104,104,True,True,correct,libero_10,1,7,put both the cream cheese box and the butter in the basket,163.46550362184644,validation,7,7,task_31_demos_11,per_init_ordinal,20260911,7,31,31,libero_10,1,[11],[11],[28],250,51,True,1,same_task_other,libero_10,1,7,put both the cream cheese box and the butter in the basket,156.53069929406047,validation,7,7,task_31_demos_28,per_init_ordinal,20260911,7,31,31,libero_10,1,[28],[11],[28],263,54,True,1
libero_10,1,8,put both the cream cheese box and the butter in the basket,same_task_other,0,0,520,520,True,True,True,True,True,104,104,True,True,correct,libero_10,1,8,put both the cream cheese box and the butter in the basket,139.3819111706689,validation,7,7,task_31_demos_31,per_init_ordinal,20260911,8,31,31,libero_10,1,[31],[31],[48],234,48,True,1,same_task_other,libero_10,1,8,put both the cream cheese box and the butter in the basket,145.45173947606236,validation,7,7,task_31_demos_48,per_init_ordinal,20260911,8,31,31,libero_10,1,[48],[31],[48],258,53,True,1
libero_10,1,9,put both the cream cheese box and the butter in the basket,same_task_other,1,1,305,305,True,True,True,True,True,61,61,True,True,correct,libero_10,1,9,put both the cream cheese box and the butter in the basket,93.56957251485437,validation,7,7,task_31_demos_45,per_init_ordinal,20260911,9,31,31,libero_10,1,[45],[45],[12],252,52,True,1,same_task_other,libero_10,1,9,put both the cream cheese box and the butter in the basket,94.72494422085583,validation,7,7,task_31_demos_12,per_init_ordinal,20260911,9,31,31,libero_10,1,[12],[45],[12],257,53,True,1
libero_10,1,10,put both the cream cheese box and the butter in the basket,same_task_other,1,0,338,520,True,True,True,True,True,68,104,True,True,correct,libero_10,1,10,put both the cream cheese box and the butter in the basket,112.35999350715429,validation,7,7,task_31_demos_49,per_init_ordinal,20260911,10,31,31,libero_10,1,[49],[49],[16],254,52,True,1,same_task_other,libero_10,1,10,put both the cream cheese box and the butter in the basket,161.34853968024254,validation,7,7,task_31_demos_16,per_init_ordinal,20260911,10,31,31,libero_10,1,[16],[49],[16],321,65,True,1
libero_10,1,11,put both the cream cheese box and the butter in the basket,same_task_other,0,0,520,520,True,True,True,True,True,104,104,True,True,correct,libero_10,1,11,put both the cream cheese box and the butter in the basket,168.80972575675696,validation,7,7,task_31_demos_28,per_init_ordinal,20260911,11,31,31,libero_10,1,[28],[28],[45],263,54,True,1,same_task_other,libero_10,1,11,put both the cream cheese box and the butter in the basket,164.93176855426282,validation,7,7,task_31_demos_45,per_init_ordinal,20260911,11,31,31,libero_10,1,[45],[28],[45],252,52,True,1
libero_10,1,12,put both the cream cheese box and the butter in the basket,same_task_other,0,0,520,520,True,True,True,True,True,104,104,True,True,correct,libero_10,1,12,put both the cream cheese box and the butter in the basket,182.7220871252939,validation,7,7,task_31_demos_39,per_init_ordinal,20260911,12,31,31,libero_10,1,[39],[39],[6],271,55,True,1,same_task_other,libero_10,1,12,put both the cream cheese box and the butter in the basket,185.6146573862061,validation,7,7,task_31_demos_06,per_init_ordinal,20260911,12,31,31,libero_10,1,[6],[39],[6],303,62,True,1
