asset,panel,suite,task_id,global_task_id,init_state_id,success,steps,paired_teacher_demo,path,bytes,replans
O1200,common_held,libero_spatial,3,3,0,True,118,0,<writer-stability-study>/rollouts/e1/O1200/trajectories/libero_spatial_task_03_state_000.pt,37863389,24
O1200,common_held,libero_spatial,3,3,1,False,220,1,<writer-stability-study>/rollouts/e1/O1200/trajectories/libero_spatial_task_03_state_001.pt,69415257,44
O1200,common_held,libero_spatial,3,3,2,True,104,2,<writer-stability-study>/rollouts/e1/O1200/trajectories/libero_spatial_task_03_state_002.pt,33130564,21
O1200,common_held,libero_spatial,3,3,3,False,220,3,<writer-stability-study>/rollouts/e1/O1200/trajectories/libero_spatial_task_03_state_003.pt,69415257,44
O1200,common_held,libero_object,1,11,0,False,280,0,<writer-stability-study>/rollouts/e1/O1200/trajectories/libero_object_task_01_state_000.pt,88346143,56
O1200,common_held,libero_object,1,11,1,True,130,1,<writer-stability-study>/rollouts/e1/O1200/trajectories/libero_object_task_01_state_001.pt,41018427,26
O1200,common_held,libero_object,1,11,2,True,154,2,<writer-stability-study>/rollouts/e1/O1200/trajectories/libero_object_task_01_state_002.pt,48906401,31
O1200,common_held,libero_object,1,11,3,True,127,3,<writer-stability-study>/rollouts/e1/O1200/trajectories/libero_object_task_01_state_003.pt,41018427,26
O1200,common_held,libero_goal,3,23,0,False,300,0,<writer-stability-study>/rollouts/e1/O1200/trajectories/libero_goal_task_03_state_000.pt,94655859,60
O1200,common_held,libero_goal,3,23,1,False,300,1,<writer-stability-study>/rollouts/e1/O1200/trajectories/libero_goal_task_03_state_001.pt,94655859,60
O1200,common_held,libero_goal,3,23,2,False,300,2,<writer-stability-study>/rollouts/e1/O1200/trajectories/libero_goal_task_03_state_002.pt,94655859,60
O1200,common_held,libero_goal,3,23,3,False,300,3,<writer-stability-study>/rollouts/e1/O1200/trajectories/libero_goal_task_03_state_003.pt,94655859,60
O1200,common_held,libero_goal,6,26,0,True,100,0,<writer-stability-study>/rollouts/e1/O1200/trajectories/libero_goal_task_06_state_000.pt,31552659,20
O1200,common_held,libero_goal,6,26,1,True,118,1,<writer-stability-study>/rollouts/e1/O1200/trajectories/libero_goal_task_06_state_001.pt,37863011,24
O1200,common_held,libero_goal,6,26,2,True,106,2,<writer-stability-study>/rollouts/e1/O1200/trajectories/libero_goal_task_06_state_002.pt,34707803,22
O1200,common_held,libero_goal,6,26,3,True,109,3,<writer-stability-study>/rollouts/e1/O1200/trajectories/libero_goal_task_06_state_003.pt,34707803,22
O1200,common_held,libero_10,1,31,0,True,463,0,<writer-stability-study>/rollouts/e1/O1200/trajectories/libero_10_task_01_state_000.pt,146715049,93
O1200,common_held,libero_10,1,31,1,True,411,1,<writer-stability-study>/rollouts/e1/O1200/trajectories/libero_10_task_01_state_001.pt,130939365,83
O1200,common_held,libero_10,1,31,2,False,520,2,<writer-stability-study>/rollouts/e1/O1200/trajectories/libero_10_task_01_state_002.pt,164068359,104
O1200,common_held,libero_10,1,31,3,False,520,3,<writer-stability-study>/rollouts/e1/O1200/trajectories/libero_10_task_01_state_003.pt,164068359,104
O1500,common_held,libero_spatial,3,3,0,True,118,0,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_spatial_task_03_state_000.pt,37863389,24
O1500,common_held,libero_spatial,3,3,1,False,220,1,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_spatial_task_03_state_001.pt,69415257,44
O1500,common_held,libero_spatial,3,3,2,True,111,2,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_spatial_task_03_state_002.pt,36285802,23
O1500,common_held,libero_spatial,3,3,3,False,220,3,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_spatial_task_03_state_003.pt,69415257,44
O1500,common_held,libero_object,1,11,0,False,280,0,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_object_task_01_state_000.pt,88346143,56
O1500,common_held,libero_object,1,11,1,True,276,1,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_object_task_01_state_001.pt,88346143,56
O1500,common_held,libero_object,1,11,2,False,280,2,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_object_task_01_state_002.pt,88346143,56
O1500,common_held,libero_object,1,11,3,True,122,3,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_object_task_01_state_003.pt,39440845,25
O1500,common_held,libero_goal,3,23,0,False,300,0,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_goal_task_03_state_000.pt,94655859,60
O1500,common_held,libero_goal,3,23,1,False,300,1,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_goal_task_03_state_001.pt,94655859,60
O1500,common_held,libero_goal,3,23,2,False,300,2,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_goal_task_03_state_002.pt,94655859,60
O1500,common_held,libero_goal,3,23,3,False,300,3,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_goal_task_03_state_003.pt,94655859,60
O1500,common_held,libero_goal,6,26,0,True,98,0,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_goal_task_06_state_000.pt,31552659,20
O1500,common_held,libero_goal,6,26,1,True,103,1,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_goal_task_06_state_001.pt,33130231,21
O1500,common_held,libero_goal,6,26,2,True,97,2,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_goal_task_06_state_002.pt,31552659,20
O1500,common_held,libero_goal,6,26,3,True,96,3,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_goal_task_06_state_003.pt,31552659,20
O1500,common_held,libero_10,1,31,0,False,520,0,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_10_task_01_state_000.pt,164068359,104
O1500,common_held,libero_10,1,31,1,True,448,1,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_10_task_01_state_001.pt,141982363,90
O1500,common_held,libero_10,1,31,2,False,520,2,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_10_task_01_state_002.pt,164068359,104
O1500,common_held,libero_10,1,31,3,True,357,3,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_10_task_01_state_003.pt,113586119,72
O1500,train,libero_spatial,5,5,0,False,220,0,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_spatial_task_05_state_000.pt,69415257,44
O1500,train,libero_spatial,5,5,1,True,107,1,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_spatial_task_05_state_001.pt,34708215,22
O1500,train,libero_spatial,5,5,2,True,95,2,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_spatial_task_05_state_002.pt,29975395,19
O1500,train,libero_spatial,5,5,3,False,220,3,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_spatial_task_05_state_003.pt,69415257,44
O1500,train,libero_spatial,7,7,0,True,111,0,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_spatial_task_07_state_000.pt,36285802,23
O1500,train,libero_spatial,7,7,1,True,123,1,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_spatial_task_07_state_001.pt,39440976,25
O1500,train,libero_spatial,7,7,2,True,142,2,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_spatial_task_07_state_002.pt,45751324,29
O1500,train,libero_spatial,7,7,3,True,116,3,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_spatial_task_07_state_003.pt,37863389,24
O1500,train,libero_object,2,12,0,True,157,0,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_object_task_02_state_000.pt,50483983,32
O1500,train,libero_object,2,12,1,False,280,1,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_object_task_02_state_001.pt,88346143,56
O1500,train,libero_object,2,12,2,True,111,2,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_object_task_02_state_002.pt,36285681,23
O1500,train,libero_object,2,12,3,False,280,3,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_object_task_02_state_003.pt,88346143,56
O1500,train,libero_10,7,37,0,True,280,0,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_10_task_07_state_000.pt,88344999,56
O1500,train,libero_10,7,37,1,True,298,1,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_10_task_07_state_001.pt,94655247,60
O1500,train,libero_10,7,37,2,True,298,2,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_10_task_07_state_002.pt,94655247,60
O1500,train,libero_10,7,37,3,False,520,3,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_10_task_07_state_003.pt,164068359,104
O1500,train,libero_90,3,43,0,False,400,0,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_90_task_03_state_000.pt,126206679,80
O1500,train,libero_90,3,43,1,False,400,1,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_90_task_03_state_001.pt,126206679,80
O1500,train,libero_90,3,43,2,True,216,2,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_90_task_03_state_002.pt,69414127,44
O1500,train,libero_90,3,43,3,False,400,3,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_90_task_03_state_003.pt,126206679,80
O1500,train,libero_90,56,96,0,True,66,0,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_90_task_56_state_000.pt,22087105,14
O1500,train,libero_90,56,96,1,False,400,1,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_90_task_56_state_001.pt,126206679,80
O1500,train,libero_90,56,96,2,True,67,2,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_90_task_56_state_002.pt,22087105,14
O1500,train,libero_90,56,96,3,True,68,3,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_90_task_56_state_003.pt,22087105,14
O1500,train,libero_90,11,51,0,True,75,0,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_90_task_11_state_000.pt,23664662,15
O1500,train,libero_90,11,51,1,True,84,1,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_90_task_11_state_001.pt,26819776,17
O1500,train,libero_90,11,51,2,True,82,2,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_90_task_11_state_002.pt,26819776,17
O1500,train,libero_90,11,51,3,True,88,3,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_90_task_11_state_003.pt,28397333,18
O1500,train,libero_90,33,73,0,True,253,0,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_90_task_33_state_000.pt,80457125,51
O1500,train,libero_90,33,73,1,True,228,1,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_90_task_33_state_001.pt,72569251,46
O1500,train,libero_90,33,73,2,False,400,2,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_90_task_33_state_002.pt,126206679,80
O1500,train,libero_90,33,73,3,False,400,3,<writer-stability-study>/rollouts/e1/O1500/trajectories/libero_90_task_33_state_003.pt,126206679,80
N1000,common_held,libero_spatial,3,3,0,True,142,0,<writer-stability-study>/rollouts/e1/N1000/trajectories/libero_spatial_task_03_state_000.pt,45751324,29
N1000,common_held,libero_spatial,3,3,1,False,220,1,<writer-stability-study>/rollouts/e1/N1000/trajectories/libero_spatial_task_03_state_001.pt,69415257,44
N1000,common_held,libero_spatial,3,3,2,False,220,2,<writer-stability-study>/rollouts/e1/N1000/trajectories/libero_spatial_task_03_state_002.pt,69415257,44
N1000,common_held,libero_spatial,3,3,3,False,220,3,<writer-stability-study>/rollouts/e1/N1000/trajectories/libero_spatial_task_03_state_003.pt,69415257,44
N1000,common_held,libero_object,1,11,0,True,217,0,<writer-stability-study>/rollouts/e1/N1000/trajectories/libero_object_task_01_state_000.pt,69415031,44
N1000,common_held,libero_object,1,11,1,False,280,1,<writer-stability-study>/rollouts/e1/N1000/trajectories/libero_object_task_01_state_001.pt,88346143,56
N1000,common_held,libero_object,1,11,2,True,233,2,<writer-stability-study>/rollouts/e1/N1000/trajectories/libero_object_task_01_state_002.pt,74147841,47
N1000,common_held,libero_object,1,11,3,True,177,3,<writer-stability-study>/rollouts/e1/N1000/trajectories/libero_object_task_01_state_003.pt,56794311,36
N1000,common_held,libero_goal,3,23,0,False,300,0,<writer-stability-study>/rollouts/e1/N1000/trajectories/libero_goal_task_03_state_000.pt,94655859,60
N1000,common_held,libero_goal,3,23,1,False,300,1,<writer-stability-study>/rollouts/e1/N1000/trajectories/libero_goal_task_03_state_001.pt,94655859,60
N1000,common_held,libero_goal,3,23,2,False,300,2,<writer-stability-study>/rollouts/e1/N1000/trajectories/libero_goal_task_03_state_002.pt,94655859,60
N1000,common_held,libero_goal,3,23,3,False,300,3,<writer-stability-study>/rollouts/e1/N1000/trajectories/libero_goal_task_03_state_003.pt,94655859,60
N1000,common_held,libero_goal,6,26,0,True,97,0,<writer-stability-study>/rollouts/e1/N1000/trajectories/libero_goal_task_06_state_000.pt,31552659,20
N1000,common_held,libero_goal,6,26,1,True,91,1,<writer-stability-study>/rollouts/e1/N1000/trajectories/libero_goal_task_06_state_001.pt,29975092,19
N1000,common_held,libero_goal,6,26,2,True,90,2,<writer-stability-study>/rollouts/e1/N1000/trajectories/libero_goal_task_06_state_002.pt,28397525,18
N1000,common_held,libero_goal,6,26,3,True,80,3,<writer-stability-study>/rollouts/e1/N1000/trajectories/libero_goal_task_06_state_003.pt,25242391,16
N1000,common_held,libero_10,1,31,0,False,520,0,<writer-stability-study>/rollouts/e1/N1000/trajectories/libero_10_task_01_state_000.pt,164068359,104
N1000,common_held,libero_10,1,31,1,False,520,1,<writer-stability-study>/rollouts/e1/N1000/trajectories/libero_10_task_01_state_001.pt,164068359,104
N1000,common_held,libero_10,1,31,2,False,520,2,<writer-stability-study>/rollouts/e1/N1000/trajectories/libero_10_task_01_state_002.pt,164068359,104
N1000,common_held,libero_10,1,31,3,False,520,3,<writer-stability-study>/rollouts/e1/N1000/trajectories/libero_10_task_01_state_003.pt,164068359,104
N1000,train,libero_spatial,5,5,0,False,220,0,<writer-stability-study>/rollouts/e1/N1000/trajectories/libero_spatial_task_05_state_000.pt,69415257,44
N1000,train,libero_spatial,5,5,1,True,80,1,<writer-stability-study>/rollouts/e1/N1000/trajectories/libero_spatial_task_05_state_001.pt,25242649,16
N1000,train,libero_spatial,5,5,2,True,86,2,<writer-stability-study>/rollouts/e1/N1000/trajectories/libero_spatial_task_05_state_002.pt,28397813,18
N1000,train,libero_spatial,5,5,3,False,220,3,<writer-stability-study>/rollouts/e1/N1000/trajectories/libero_spatial_task_05_state_003.pt,69415257,44
N1000,train,libero_spatial,7,7,0,True,118,0,<writer-stability-study>/rollouts/e1/N1000/trajectories/libero_spatial_task_07_state_000.pt,37863389,24
N1000,train,libero_spatial,7,7,1,True,126,1,<writer-stability-study>/rollouts/e1/N1000/trajectories/libero_spatial_task_07_state_001.pt,41018563,26
