suite,task_id,split_role,language,init_state_id,env_seed,policy_seed_root,policy_noise_seeds,success,steps,wall_seconds,finished_at,stage_predicates,occupancy_trajectory,horizon_writer_lora,asset,panel,global_task_id,old_writer_unseen_auxiliary,branch,local_step,parent_asset
libero_spatial,3,validation,pick up the black bowl on the cookie box and place it on the plate,0,7,7,"[336169725590312743,567642240813974001,8354292684063646108,5334794776498519797,2040010150640505745,2343701475842438382,5412470899770061167,820364343317419064,5457482945389825552,2504491285362484018,7422502578034213173,5056665176767612485,2003354737360645143,8279383433696764486,4208196502484156673,8983410438659563528,2296803609333534892,2041091650467651175,7305716513144627935,7294937211943360544,8345237991230332652,7378017725889838708,8716448154690811246,5248443494691871216,7529697755391121787,1862166540365282398,2609489418213649695,5978486964181319654]",True,138,31.367279480677098,32.54538213182241,"{""ever_satisfied"":[true],""final_satisfied"":[true],""peak_satisfied_count"":1,""predicates"":[[""on"",""akita_black_bowl_1"",""plate_1""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":138}]}","{""bytes"":44182317,""capture_level"":""full"",""path"":""<STUDY>/rollouts/e3/O-H/local_036/trajectories/libero_spatial_task_03_state_000.pt"",""replans"":28}","{""asset"":""O-H@36"",""checkpoint_selection_use"":false,""global_task_id"":3,""init_state_id"":0,""outcome_dependence"":false,""schema_version"":""ember_writer_stability_rollout_condition_v1"",""suite"":""libero_spatial"",""task_id"":3,""teacher_demo"":0,""teacher_raw_frames"":99,""teacher_sampled_frames"":21,""test_use"":false}",O-H@36,terminal_held,3,False,O-H,36,O1200
libero_spatial,3,validation,pick up the black bowl on the cookie box and place it on the plate,1,7,7,"[3071172578146223952,2080936696745084643,5469435010854225470,2153244960118961693,6816072406336098585,1734556419457555794,7851340247296578549,4816167663840372196,4754548742721011271,9211355379407494252,137860901857221128,9090171750181843907,8119349483388016788,4891543561003366242,4473642343538525021,8364298704962546982,1629217563418473229,3290217260496827766,7629897306060874214,4742490323170293522,6404441703517424389,2964772810324140608,8627077584774895936]",True,113,25.85351753793657,28.126755476929247,"{""ever_satisfied"":[true],""final_satisfied"":[true],""peak_satisfied_count"":1,""predicates"":[[""on"",""akita_black_bowl_1"",""plate_1""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":113}]}","{""bytes"":47085,""capture_level"":""compact"",""path"":""<STUDY>/rollouts/e3/O-H/local_036/trajectories/libero_spatial_task_03_state_001.pt"",""replans"":23}","{""asset"":""O-H@36"",""checkpoint_selection_use"":false,""global_task_id"":3,""init_state_id"":1,""outcome_dependence"":false,""schema_version"":""ember_writer_stability_rollout_condition_v1"",""suite"":""libero_spatial"",""task_id"":3,""teacher_demo"":1,""teacher_raw_frames"":101,""teacher_sampled_frames"":21,""test_use"":false}",O-H@36,terminal_held,3,False,O-H,36,O1200
libero_spatial,3,validation,pick up the black bowl on the cookie box and place it on the plate,2,7,7,"[6298054988284327818,6912635386658077700,383976089418881795,2587202063313400801,7021786076458083965,593234421942514120,8669872273799573751,5991206727220654679,3270751023889855435,8139016423407761104,4028834637132934680,4043526413053354951,8641375561554741217,7084097018260223068,3748824873657071406,2524451583669730806,2801126175072182625,5243106494803483929,1850557323821615607,3769967364146662180,5559034931446361638,7379059557454514174,5208848188514599125,4517426482748366558,6642745596815519244,1543581277050354868,64201453868939890,5917772037212507502,4618418428943697941]",True,143,30.26150890486315,33.62369983782992,"{""ever_satisfied"":[true],""final_satisfied"":[true],""peak_satisfied_count"":1,""predicates"":[[""on"",""akita_black_bowl_1"",""plate_1""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":143}]}","{""bytes"":59061,""capture_level"":""compact"",""path"":""<STUDY>/rollouts/e3/O-H/local_036/trajectories/libero_spatial_task_03_state_002.pt"",""replans"":29}","{""asset"":""O-H@36"",""checkpoint_selection_use"":false,""global_task_id"":3,""init_state_id"":2,""outcome_dependence"":false,""schema_version"":""ember_writer_stability_rollout_condition_v1"",""suite"":""libero_spatial"",""task_id"":3,""teacher_demo"":2,""teacher_raw_frames"":95,""teacher_sampled_frames"":20,""test_use"":false}",O-H@36,terminal_held,3,False,O-H,36,O1200
libero_spatial,3,validation,pick up the black bowl on the cookie box and place it on the plate,3,7,7,"[5844883203585125168,5025841759868289392,3144194430178048546,4801875581304945847,468081466817769956,4734881704432230013,959494122824425653,1945541120257169749,6506988136844350673,1323002413188064283,1282348786779226374,6571566919880846274,5302843147758881824,8099844664203210874,4162119894034043737,5099925154081425737,6833960761683269512,7413558454919553786,3214155400790689838,8476036750337665618,5683741918122184492,3146513501583868712,5134754843935734534,7295903721501276154,6966475529449043799,964144398375903039,5537281316329676556,2570112512858642678,8253316964221879720,2000320299649689463,7363408069598897341,7244719144436028534,1277706102151985398,2882953250328450485,6809773225674697798,4961094627183306235,3601228802350205382,4033712914798725752,3897374095001332926,6898814568060512473,8284858137158279658,330857029533074500,6288659453853307531,4954602287269604115]",False,220,36.07471931865439,40.46856235573068,"{""ever_satisfied"":[false],""final_satisfied"":[false],""peak_satisfied_count"":0,""predicates"":[[""on"",""akita_black_bowl_1"",""plate_1""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0}]}","{""bytes"":89033,""capture_level"":""compact"",""path"":""<STUDY>/rollouts/e3/O-H/local_036/trajectories/libero_spatial_task_03_state_003.pt"",""replans"":44}","{""asset"":""O-H@36"",""checkpoint_selection_use"":false,""global_task_id"":3,""init_state_id"":3,""outcome_dependence"":false,""schema_version"":""ember_writer_stability_rollout_condition_v1"",""suite"":""libero_spatial"",""task_id"":3,""teacher_demo"":3,""teacher_raw_frames"":115,""teacher_sampled_frames"":24,""test_use"":false}",O-H@36,terminal_held,3,False,O-H,36,O1200
libero_object,1,validation,pick up the cream cheese and place it in the basket,0,7,7,"[1764210406108741574,3836588974318758825,7971256763961264857,8172640194079971334,5109217772215900344,8127657125412314075,41127862791718870,2618195653838822282,3945879615897659047,4807547919112120522,1806370725723135070,4513106148028486545,6319195100526623892,5370509103018043559,6498526979093454720,902687379068510851,2376500793543191942,8621046406545839782,2246205218069956362,7429359954569227064,7884868446968348240,2227676743794273877,5070154547901706858,3669414435821318416,8848835830760864689,7729708896664410211,4633559183066694126,5327164714405199684,6226991016291009180,2221326210433340297,8768033716272618626,6311534387210060068,9171459359667105102,5965569251769123100,2718805684633866035,1662410874903997488,2840173522319229163,8834241311588677320,709069421190859722,8185886960346710137,2565064801153509063,2146060320521951229,3378153110170898822,7385328994146981193,8294308961245227333,7748112701127134785]",True,226,38.262596188578755,39.20019150385633,"{""ever_satisfied"":[true],""final_satisfied"":[true],""peak_satisfied_count"":1,""predicates"":[[""in"",""cream_cheese_1"",""basket_1_contain_region""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":226}]}","{""bytes"":92927,""capture_level"":""compact"",""path"":""<STUDY>/rollouts/e3/O-H/local_036/trajectories/libero_object_task_01_state_000.pt"",""replans"":46}","{""asset"":""O-H@36"",""checkpoint_selection_use"":false,""global_task_id"":11,""init_state_id"":0,""outcome_dependence"":false,""schema_version"":""ember_writer_stability_rollout_condition_v1"",""suite"":""libero_object"",""task_id"":1,""teacher_demo"":0,""teacher_raw_frames"":139,""teacher_sampled_frames"":29,""test_use"":false}",O-H@36,terminal_held,11,False,O-H,36,O1200
libero_object,1,validation,pick up the cream cheese and place it in the basket,1,7,7,"[7420547635691626371,501823346460184892,2808280276510186011,9125043344243611695,403813749669296451,1407366998281182077,2209299523064019634,1728017030491187931,2513642288712647512,1447387066432853060,4693224407500016404,1737625573879917920,6067103784603218004,4875182151779258051,546466106271624807,9047002785452638602,7742191438442415817,8024174060520581936,5799993939873865180,1334774698373763792,3129131042550033500,2753095723835555029,3433300564092773732,2301348941678342198,7241566034470681974,1595137328551950185,1223846610154684646,4228575145339593338,8558693830307251586,5060217729706729485,161047149258878698,2874843034271566865,3850461532179320374,483846141656559909,5334406913610702002,1768945815088919566,284012393076012105,2773929893499215681,1082557467933144293,8709156691477174840,2912888861160929594,4522628410835879771,401655199804936023,8103297065153877132,4118061439267329582,8826129452668332172,2263494092296218903,7101472703197888275,5983077629402424921,4703649913563333398,7719468365852383782,3990854988996443549,5937330318804893810,1575524277352256469,6900815957943964894,4705494789899483143]",False,280,41.641535891219974,43.52243024017662,"{""ever_satisfied"":[false],""final_satisfied"":[false],""peak_satisfied_count"":0,""predicates"":[[""in"",""cream_cheese_1"",""basket_1_contain_region""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0}]}","{""bytes"":112943,""capture_level"":""compact"",""path"":""<STUDY>/rollouts/e3/O-H/local_036/trajectories/libero_object_task_01_state_001.pt"",""replans"":56}","{""asset"":""O-H@36"",""checkpoint_selection_use"":false,""global_task_id"":11,""init_state_id"":1,""outcome_dependence"":false,""schema_version"":""ember_writer_stability_rollout_condition_v1"",""suite"":""libero_object"",""task_id"":1,""teacher_demo"":1,""teacher_raw_frames"":187,""teacher_sampled_frames"":39,""test_use"":false}",O-H@36,terminal_held,11,False,O-H,36,O1200
libero_object,1,validation,pick up the cream cheese and place it in the basket,2,7,7,"[3515262128279278940,1224036772478655973,478293637689251682,3540847092953613223,4328413232641629785,6811305769457963913,7493268904500544434,8083105539726185730,8414072237268020580,1893592179093710111,2488153855796920192,1554986030321788607,4047939611339120474,4102179388848657701,1147138887996013605,3863494293313979635,6193003831111729703,1626172842785393201,2904614765474486566,3655373432879583266,6106723134634969432,1530641680022518864,5299007373251733956,1776309024967508017,5554150453191670933,3588510541056688845,666834990498619419,3102760675369552907,6023898576793354574,402930942210347881,2078320372986288529]",True,153,27.597188277170062,30.536983366124332,"{""ever_satisfied"":[true],""final_satisfied"":[true],""peak_satisfied_count"":1,""predicates"":[[""in"",""cream_cheese_1"",""basket_1_contain_region""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":153}]}","{""bytes"":62985,""capture_level"":""compact"",""path"":""<STUDY>/rollouts/e3/O-H/local_036/trajectories/libero_object_task_01_state_002.pt"",""replans"":31}","{""asset"":""O-H@36"",""checkpoint_selection_use"":false,""global_task_id"":11,""init_state_id"":2,""outcome_dependence"":false,""schema_version"":""ember_writer_stability_rollout_condition_v1"",""suite"":""libero_object"",""task_id"":1,""teacher_demo"":2,""teacher_raw_frames"":125,""teacher_sampled_frames"":26,""test_use"":false}",O-H@36,terminal_held,11,False,O-H,36,O1200
libero_object,1,validation,pick up the cream cheese and place it in the basket,3,7,7,"[813647924528887858,5351092081399935768,7442759767410944757,7892859586617915780,5301498965079906004,289562166806627740,613859540680986132,5058023941821712151,2146080548017320215,4214456032801721274,170807808573357750,1310651860523142851,3541140102953400097,6731585121498890393,2349060069222585986,5878971007946073140,3254469291135872673,6844594369008655041,7399228462889035073,4950579294597892399,5327087292628972889,3432113250942763909,2244704256273282836,2977310641305390391,5486701027510805187,9080072422516330697,9010255843364689905,9094282427908602016]",True,139,24.43791233887896,28.33475705003366,"{""ever_satisfied"":[true],""final_satisfied"":[true],""peak_satisfied_count"":1,""predicates"":[[""in"",""cream_cheese_1"",""basket_1_contain_region""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":139}]}","{""bytes"":57035,""capture_level"":""compact"",""path"":""<STUDY>/rollouts/e3/O-H/local_036/trajectories/libero_object_task_01_state_003.pt"",""replans"":28}","{""asset"":""O-H@36"",""checkpoint_selection_use"":false,""global_task_id"":11,""init_state_id"":3,""outcome_dependence"":false,""schema_version"":""ember_writer_stability_rollout_condition_v1"",""suite"":""libero_object"",""task_id"":1,""teacher_demo"":3,""teacher_raw_frames"":133,""teacher_sampled_frames"":28,""test_use"":false}",O-H@36,terminal_held,11,False,O-H,36,O1200
libero_goal,6,validation,put the cream cheese in the bowl,0,7,7,"[1219103976213717812,5315326635778241048,6581066537600475800,5384416861622508714,743854383548529066,1105212997721360534,176878808967372638,6226355913612208093,3312999424712431441,8774203458501478435,3366685016606281334,3725356210471090660,8141180129757787358,8376806228341239167,5907852681209368379,5549727159950824425,8863063940509649049,8428194982790091570]",True,89,19.52817664667964,20.471386167686433,"{""ever_satisfied"":[true],""final_satisfied"":[true],""peak_satisfied_count"":1,""predicates"":[[""on"",""cream_cheese_1"",""akita_black_bowl_1""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":89}]}","{""bytes"":36947,""capture_level"":""compact"",""path"":""<STUDY>/rollouts/e3/O-H/local_036/trajectories/libero_goal_task_06_state_000.pt"",""replans"":18}","{""asset"":""O-H@36"",""checkpoint_selection_use"":false,""global_task_id"":26,""init_state_id"":0,""outcome_dependence"":false,""schema_version"":""ember_writer_stability_rollout_condition_v1"",""suite"":""libero_goal"",""task_id"":6,""teacher_demo"":0,""teacher_raw_frames"":92,""teacher_sampled_frames"":20,""test_use"":false}",O-H@36,terminal_held,26,False,O-H,36,O1200
libero_goal,6,validation,put the cream cheese in the bowl,1,7,7,"[172711500567230450,7421732192852202220,5696561469870624486,1959095774179179170,7096899449743204803,6574102587345016126,61461671323595603,1124833847544659051,8371862612761519600,317790859405359394,2368768065563260770,484822171613426146,4530602358412543701,7019089587053173144,6324709606709671691,7558199183049434637,6214980544420630992,6052297001701878808,9129516409868353403]",True,91,19.02484699478373,20.91864457866177,"{""ever_satisfied"":[true],""final_satisfied"":[true],""peak_satisfied_count"":1,""predicates"":[[""on"",""cream_cheese_1"",""akita_black_bowl_1""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":91}]}","{""bytes"":38969,""capture_level"":""compact"",""path"":""<STUDY>/rollouts/e3/O-H/local_036/trajectories/libero_goal_task_06_state_001.pt"",""replans"":19}","{""asset"":""O-H@36"",""checkpoint_selection_use"":false,""global_task_id"":26,""init_state_id"":1,""outcome_dependence"":false,""schema_version"":""ember_writer_stability_rollout_condition_v1"",""suite"":""libero_goal"",""task_id"":6,""teacher_demo"":1,""teacher_raw_frames"":113,""teacher_sampled_frames"":24,""test_use"":false}",O-H@36,terminal_held,26,False,O-H,36,O1200
