panel,global_step,suite,task_id,init_state_id,success,video_ordinal,teacher_demo_indices
original_n1000_correct,1000,libero_10,1,1,False,1,[9]
original_n1000_correct,1000,libero_10,1,3,False,3,[32]
original_n1000_correct,1000,libero_10,1,4,False,4,[15]
original_n1000_correct,1000,libero_10,1,10,False,10,[49]
original_n1000_correct,1000,libero_10,1,12,False,12,[39]
original_n1000_correct,1000,libero_10,1,15,False,15,[38]
original_n1000_correct,1000,libero_10,1,16,False,16,[35]
original_n1000_correct,1000,libero_10,1,17,False,17,[33]
original_n1000_correct,1000,libero_10,1,19,False,19,[24]
original_n1000_correct,1000,libero_10,1,23,False,23,[48]
original_n1000_correct,1000,libero_10,1,27,False,27,[4]
original_n1000_correct,1000,libero_10,1,28,False,28,[20]
original_n1000_correct,1000,libero_10,1,29,False,29,[25]
original_n1000_correct,1000,libero_10,1,30,False,30,[46]
original_n1000_correct,1000,libero_10,1,31,False,31,[22]
original_n1000_correct,1000,libero_10,1,33,False,33,[40]
original_n1000_correct,1000,libero_10,1,34,False,34,[13]
original_n1000_correct,1000,libero_10,1,35,False,35,[16]
original_n1000_correct,1000,libero_10,1,36,False,36,[10]
original_n1000_correct,1000,libero_10,1,40,False,40,[36]
original_n1000_correct,1000,libero_10,1,43,False,43,[19]
original_n1000_correct,1000,libero_10,1,45,False,45,[8]
original_n1000_correct,1000,libero_10,1,47,False,47,[30]
original_n1000_correct,1000,libero_10,9,0,False,0,[47]
original_n1000_correct,1000,libero_10,9,1,False,1,[48]
original_n1000_correct,1000,libero_10,9,2,False,2,[4]
original_n1000_correct,1000,libero_10,9,3,False,3,[27]
original_n1000_correct,1000,libero_10,9,4,False,4,[17]
original_n1000_correct,1000,libero_10,9,5,False,5,[26]
original_n1000_correct,1000,libero_10,9,6,False,6,[11]
original_n1000_correct,1000,libero_10,9,7,False,7,[45]
original_n1000_correct,1000,libero_10,9,8,False,8,[41]
original_n1000_correct,1000,libero_10,9,9,False,9,[21]
original_n1000_correct,1000,libero_10,9,10,False,10,[18]
original_n1000_correct,1000,libero_10,9,11,False,11,[32]
original_n1000_correct,1000,libero_10,9,12,False,12,[2]
original_n1000_correct,1000,libero_10,9,13,False,13,[5]
original_n1000_correct,1000,libero_10,9,14,False,14,[23]
original_n1000_correct,1000,libero_10,9,15,False,15,[10]
original_n1000_correct,1000,libero_10,9,16,False,16,[44]
original_n1000_correct,1000,libero_10,9,17,False,17,[30]
original_n1000_correct,1000,libero_10,9,18,False,18,[8]
original_n1000_correct,1000,libero_10,9,19,False,19,[25]
original_n1000_correct,1000,libero_10,9,20,False,20,[29]
original_n1000_correct,1000,libero_10,9,21,False,21,[37]
original_n1000_correct,1000,libero_10,9,22,False,22,[16]
original_n1000_correct,1000,libero_10,9,23,False,23,[28]
original_n1000_correct,1000,libero_10,9,24,False,24,[7]
original_n1000_correct,1000,libero_10,9,25,False,25,[46]
original_n1000_correct,1000,libero_10,9,26,False,26,[3]
original_n1000_correct,1000,libero_10,9,27,False,27,[34]
original_n1000_correct,1000,libero_10,9,28,False,28,[49]
original_n1000_correct,1000,libero_10,9,29,False,29,[36]
original_n1000_correct,1000,libero_10,9,30,False,30,[1]
original_n1000_correct,1000,libero_10,9,31,False,31,[35]
original_n1000_correct,1000,libero_10,9,32,False,32,[24]
original_n1000_correct,1000,libero_10,9,33,False,33,[38]
original_n1000_correct,1000,libero_10,9,34,False,34,[31]
original_n1000_correct,1000,libero_10,9,35,False,35,[33]
original_n1000_correct,1000,libero_10,9,36,False,36,[13]
original_n1000_correct,1000,libero_10,9,37,False,37,[19]
original_n1000_correct,1000,libero_10,9,38,False,38,[40]
original_n1000_correct,1000,libero_10,9,39,False,39,[9]
original_n1000_correct,1000,libero_10,9,40,False,40,[12]
original_n1000_correct,1000,libero_10,9,41,False,41,[42]
original_n1000_correct,1000,libero_10,9,42,False,42,[14]
original_n1000_correct,1000,libero_10,9,43,False,43,[22]
original_n1000_correct,1000,libero_10,9,44,False,44,[15]
original_n1000_correct,1000,libero_10,9,45,False,45,[43]
original_n1000_correct,1000,libero_10,9,46,False,46,[0]
original_n1000_correct,1000,libero_10,9,47,False,47,[20]
