suite,task_id,init_state_id,language,reference_label,c600_success,reference_success,c600_steps,reference_steps,same_task_state,same_language,same_env_seed,same_policy_seed_root,policy_noise_prefix_equal,c600_policy_noise_draws,reference_policy_noise_draws,c600_panel_integrity_passed,reference_panel_integrity_passed,c600_arm,c600_suite,c600_task_id,c600_init_state_id,c600_language,c600_wall_seconds,c600_split_role,c600_env_seed,c600_policy_seed_root,c600_condition_id,c600_selection_mode,c600_selection_seed,c600_video_ordinal,c600_language_global_task_id,c600_used_video_global_task_id,c600_used_video_suite,c600_used_video_task_id,c600_teacher_demo_indices,c600_paired_correct_demos,c600_paired_other_demos,c600_video_raw_frame_count,c600_video_sampled_frame_count,c600_single_complete_rank16,c600_writer_invocations,reference_arm,reference_suite,reference_task_id,reference_init_state_id,reference_language,reference_wall_seconds,reference_split_role,reference_env_seed,reference_policy_seed_root,reference_condition_id,reference_selection_mode,reference_selection_seed,reference_video_ordinal,reference_language_global_task_id,reference_used_video_global_task_id,reference_used_video_suite,reference_used_video_task_id,reference_teacher_demo_indices,reference_paired_correct_demos,reference_paired_other_demos,reference_video_raw_frame_count,reference_video_sampled_frame_count,reference_single_complete_rank16,reference_writer_invocations
libero_10,1,0,put both the cream cheese box and the butter in the basket,source_validation,0,0,520,520,True,True,True,True,True,104,104,True,True,correct,libero_10,1,0,put both the cream cheese box and the butter in the basket,184.09806050825864,validation,7,7,task_31_demos_47,per_init_ordinal,20260911,0,31,31,libero_10,1,[47],[47],[14],256,52,True,1,,libero_10,1,0,put both the cream cheese box and the butter in the basket,174.03589463001117,validation,7,7,,,,,,,,,[],[],[],,,,
libero_10,1,1,put both the cream cheese box and the butter in the basket,source_validation,0,0,520,520,True,True,True,True,True,104,104,True,True,correct,libero_10,1,1,put both the cream cheese box and the butter in the basket,190.38760935980827,validation,7,7,task_31_demos_09,per_init_ordinal,20260911,1,31,31,libero_10,1,[9],[9],[26],257,53,True,1,,libero_10,1,1,put both the cream cheese box and the butter in the basket,174.9889365620911,validation,7,7,,,,,,,,,[],[],[],,,,
libero_10,1,2,put both the cream cheese box and the butter in the basket,source_validation,1,0,336,520,True,True,True,True,True,68,104,True,True,correct,libero_10,1,2,put both the cream cheese box and the butter in the basket,112.59528587106615,validation,7,7,task_31_demos_03,per_init_ordinal,20260911,2,31,31,libero_10,1,[3],[3],[20],288,59,True,1,,libero_10,1,2,put both the cream cheese box and the butter in the basket,175.56658339267597,validation,7,7,,,,,,,,,[],[],[],,,,
libero_10,1,3,put both the cream cheese box and the butter in the basket,source_validation,1,0,271,520,True,True,True,True,True,55,104,True,True,correct,libero_10,1,3,put both the cream cheese box and the butter in the basket,84.89895335678011,validation,7,7,task_31_demos_32,per_init_ordinal,20260911,3,31,31,libero_10,1,[32],[32],[49],246,50,True,1,,libero_10,1,3,put both the cream cheese box and the butter in the basket,175.97191956313327,validation,7,7,,,,,,,,,[],[],[],,,,
libero_10,1,4,put both the cream cheese box and the butter in the basket,source_validation,0,0,520,520,True,True,True,True,True,104,104,True,True,correct,libero_10,1,4,put both the cream cheese box and the butter in the basket,160.9372600261122,validation,7,7,task_31_demos_15,per_init_ordinal,20260911,4,31,31,libero_10,1,[15],[15],[32],254,52,True,1,,libero_10,1,4,put both the cream cheese box and the butter in the basket,176.3944770367816,validation,7,7,,,,,,,,,[],[],[],,,,
libero_10,1,5,put both the cream cheese box and the butter in the basket,source_validation,1,0,480,520,True,True,True,True,True,96,104,True,True,correct,libero_10,1,5,put both the cream cheese box and the butter in the basket,151.99477200303227,validation,7,7,task_31_demos_18,per_init_ordinal,20260911,5,31,31,libero_10,1,[18],[18],[35],258,53,True,1,,libero_10,1,5,put both the cream cheese box and the butter in the basket,176.73765033995733,validation,7,7,,,,,,,,,[],[],[],,,,
libero_10,1,6,put both the cream cheese box and the butter in the basket,source_validation,1,0,276,520,True,True,True,True,True,56,104,True,True,correct,libero_10,1,6,put both the cream cheese box and the butter in the basket,85.17694646678865,validation,7,7,task_31_demos_34,per_init_ordinal,20260911,6,31,31,libero_10,1,[34],[34],[1],278,57,True,1,,libero_10,1,6,put both the cream cheese box and the butter in the basket,177.02067125635222,validation,7,7,,,,,,,,,[],[],[],,,,
libero_10,1,7,put both the cream cheese box and the butter in the basket,source_validation,0,0,520,520,True,True,True,True,True,104,104,True,True,correct,libero_10,1,7,put both the cream cheese box and the butter in the basket,163.46550362184644,validation,7,7,task_31_demos_11,per_init_ordinal,20260911,7,31,31,libero_10,1,[11],[11],[28],250,51,True,1,,libero_10,1,7,put both the cream cheese box and the butter in the basket,177.27209092490375,validation,7,7,,,,,,,,,[],[],[],,,,
libero_10,1,8,put both the cream cheese box and the butter in the basket,source_validation,0,0,520,520,True,True,True,True,True,104,104,True,True,correct,libero_10,1,8,put both the cream cheese box and the butter in the basket,139.3819111706689,validation,7,7,task_31_demos_31,per_init_ordinal,20260911,8,31,31,libero_10,1,[31],[31],[48],234,48,True,1,,libero_10,1,8,put both the cream cheese box and the butter in the basket,177.23264372721314,validation,7,7,,,,,,,,,[],[],[],,,,
libero_10,1,9,put both the cream cheese box and the butter in the basket,source_validation,1,0,305,520,True,True,True,True,True,61,104,True,True,correct,libero_10,1,9,put both the cream cheese box and the butter in the basket,93.56957251485437,validation,7,7,task_31_demos_45,per_init_ordinal,20260911,9,31,31,libero_10,1,[45],[45],[12],252,52,True,1,,libero_10,1,9,put both the cream cheese box and the butter in the basket,177.2068139379844,validation,7,7,,,,,,,,,[],[],[],,,,
libero_10,1,10,put both the cream cheese box and the butter in the basket,source_validation,1,0,338,520,True,True,True,True,True,68,104,True,True,correct,libero_10,1,10,put both the cream cheese box and the butter in the basket,112.35999350715429,validation,7,7,task_31_demos_49,per_init_ordinal,20260911,10,31,31,libero_10,1,[49],[49],[16],254,52,True,1,,libero_10,1,10,put both the cream cheese box and the butter in the basket,176.93534507369623,validation,7,7,,,,,,,,,[],[],[],,,,
libero_10,1,11,put both the cream cheese box and the butter in the basket,source_validation,0,0,520,520,True,True,True,True,True,104,104,True,True,correct,libero_10,1,11,put both the cream cheese box and the butter in the basket,168.80972575675696,validation,7,7,task_31_demos_28,per_init_ordinal,20260911,11,31,31,libero_10,1,[28],[28],[45],263,54,True,1,,libero_10,1,11,put both the cream cheese box and the butter in the basket,176.70526998117566,validation,7,7,,,,,,,,,[],[],[],,,,
libero_10,1,12,put both the cream cheese box and the butter in the basket,source_validation,0,0,520,520,True,True,True,True,True,104,104,True,True,correct,libero_10,1,12,put both the cream cheese box and the butter in the basket,182.7220871252939,validation,7,7,task_31_demos_39,per_init_ordinal,20260911,12,31,31,libero_10,1,[39],[39],[6],271,55,True,1,,libero_10,1,12,put both the cream cheese box and the butter in the basket,176.44342484511435,validation,7,7,,,,,,,,,[],[],[],,,,
libero_10,1,13,put both the cream cheese box and the butter in the basket,source_validation,0,1,520,388,True,True,True,True,True,104,78,True,True,correct,libero_10,1,13,put both the cream cheese box and the butter in the basket,188.82303437311202,validation,7,7,task_31_demos_43,per_init_ordinal,20260911,13,31,31,libero_10,1,[43],[43],[10],284,58,True,1,,libero_10,1,13,put both the cream cheese box and the butter in the basket,122.67277003265917,validation,7,7,,,,,,,,,[],[],[],,,,
libero_10,1,14,put both the cream cheese box and the butter in the basket,source_validation,1,0,353,520,True,True,True,True,True,71,104,True,True,correct,libero_10,1,14,put both the cream cheese box and the butter in the basket,114.30859788227826,validation,7,7,task_31_demos_12,per_init_ordinal,20260911,14,31,31,libero_10,1,[12],[12],[29],257,53,True,1,,libero_10,1,14,put both the cream cheese box and the butter in the basket,174.66043760301545,validation,7,7,,,,,,,,,[],[],[],,,,
libero_10,1,15,put both the cream cheese box and the butter in the basket,source_validation,0,0,520,520,True,True,True,True,True,104,104,True,True,correct,libero_10,1,15,put both the cream cheese box and the butter in the basket,148.29028536193073,validation,7,7,task_31_demos_38,per_init_ordinal,20260911,15,31,31,libero_10,1,[38],[38],[5],258,53,True,1,,libero_10,1,15,put both the cream cheese box and the butter in the basket,174.36912652803585,validation,7,7,,,,,,,,,[],[],[],,,,
libero_10,1,16,put both the cream cheese box and the butter in the basket,source_validation,1,1,306,321,True,True,True,True,True,62,65,True,True,correct,libero_10,1,16,put both the cream cheese box and the butter in the basket,102.19951527379453,validation,7,7,task_31_demos_35,per_init_ordinal,20260911,16,31,31,libero_10,1,[35],[35],[2],282,58,True,1,,libero_10,1,16,put both the cream cheese box and the butter in the basket,118.15318479482085,validation,7,7,,,,,,,,,[],[],[],,,,
libero_10,1,17,put both the cream cheese box and the butter in the basket,source_validation,0,0,520,520,True,True,True,True,True,104,104,True,True,correct,libero_10,1,17,put both the cream cheese box and the butter in the basket,162.5242070602253,validation,7,7,task_31_demos_33,per_init_ordinal,20260911,17,31,31,libero_10,1,[33],[33],[0],247,51,True,1,,libero_10,1,17,put both the cream cheese box and the butter in the basket,185.765998179093,validation,7,7,,,,,,,,,[],[],[],,,,
libero_10,1,18,put both the cream cheese box and the butter in the basket,source_validation,1,0,286,520,True,True,True,True,True,58,104,True,True,correct,libero_10,1,18,put both the cream cheese box and the butter in the basket,86.93426809646189,validation,7,7,task_31_demos_42,per_init_ordinal,20260911,18,31,31,libero_10,1,[42],[42],[9],255,52,True,1,,libero_10,1,18,put both the cream cheese box and the butter in the basket,187.61404429702088,validation,7,7,,,,,,,,,[],[],[],,,,
libero_10,1,19,put both the cream cheese box and the butter in the basket,source_validation,1,0,328,520,True,True,True,True,True,66,104,True,True,correct,libero_10,1,19,put both the cream cheese box and the butter in the basket,110.51278461329639,validation,7,7,task_31_demos_24,per_init_ordinal,20260911,19,31,31,libero_10,1,[24],[24],[41],247,51,True,1,,libero_10,1,19,put both the cream cheese box and the butter in the basket,187.55629950016737,validation,7,7,,,,,,,,,[],[],[],,,,
libero_10,1,20,put both the cream cheese box and the butter in the basket,source_validation,1,0,367,520,True,True,True,True,True,74,104,True,True,correct,libero_10,1,20,put both the cream cheese box and the butter in the basket,108.09012685157359,validation,7,7,task_31_demos_21,per_init_ordinal,20260911,20,31,31,libero_10,1,[21],[21],[38],252,52,True,1,,libero_10,1,20,put both the cream cheese box and the butter in the basket,187.66369783645496,validation,7,7,,,,,,,,,[],[],[],,,,
libero_10,1,21,put both the cream cheese box and the butter in the basket,source_validation,1,0,356,520,True,True,True,True,True,72,104,True,True,correct,libero_10,1,21,put both the cream cheese box and the butter in the basket,108.05552811641246,validation,7,7,task_31_demos_23,per_init_ordinal,20260911,21,31,31,libero_10,1,[23],[23],[40],272,56,True,1,,libero_10,1,21,put both the cream cheese box and the butter in the basket,187.8047441309318,validation,7,7,,,,,,,,,[],[],[],,,,
libero_10,1,22,put both the cream cheese box and the butter in the basket,source_validation,1,0,416,520,True,True,True,True,True,84,104,True,True,correct,libero_10,1,22,put both the cream cheese box and the butter in the basket,121.82220425829291,validation,7,7,task_31_demos_02,per_init_ordinal,20260911,22,31,31,libero_10,1,[2],[2],[19],246,50,True,1,,libero_10,1,22,put both the cream cheese box and the butter in the basket,187.85396608011797,validation,7,7,,,,,,,,,[],[],[],,,,
libero_10,1,23,put both the cream cheese box and the butter in the basket,source_validation,0,0,520,520,True,True,True,True,True,104,104,True,True,correct,libero_10,1,23,put both the cream cheese box and the butter in the basket,167.39664966147393,validation,7,7,task_31_demos_48,per_init_ordinal,20260911,23,31,31,libero_10,1,[48],[48],[15],258,53,True,1,,libero_10,1,23,put both the cream cheese box and the butter in the basket,187.83809072431177,validation,7,7,,,,,,,,,[],[],[],,,,
libero_10,1,24,put both the cream cheese box and the butter in the basket,source_validation,1,0,273,520,True,True,True,True,True,55,104,True,True,correct,libero_10,1,24,put both the cream cheese box and the butter in the basket,102.99150796514004,validation,7,7,task_31_demos_00,per_init_ordinal,20260911,24,31,31,libero_10,1,[0],[0],[17],258,53,True,1,,libero_10,1,24,put both the cream cheese box and the butter in the basket,187.65004257205874,validation,7,7,,,,,,,,,[],[],[],,,,
libero_10,1,25,put both the cream cheese box and the butter in the basket,source_validation,0,0,520,520,True,True,True,True,True,104,104,True,True,correct,libero_10,1,25,put both the cream cheese box and the butter in the basket,187.39047310966998,validation,7,7,task_31_demos_07,per_init_ordinal,20260911,25,31,31,libero_10,1,[7],[7],[24],247,51,True,1,,libero_10,1,25,put both the cream cheese box and the butter in the basket,197.93304991582409,validation,7,7,,,,,,,,,[],[],[],,,,
libero_10,1,26,put both the cream cheese box and the butter in the basket,source_validation,0,1,520,418,True,True,True,True,True,104,84,True,True,correct,libero_10,1,26,put both the cream cheese box and the butter in the basket,136.52284736558795,validation,7,7,task_31_demos_37,per_init_ordinal,20260911,26,31,31,libero_10,1,[37],[37],[4],237,49,True,1,,libero_10,1,26,put both the cream cheese box and the butter in the basket,150.55465012788773,validation,7,7,,,,,,,,,[],[],[],,,,
libero_10,1,27,put both the cream cheese box and the butter in the basket,source_validation,1,0,422,520,True,True,True,True,True,85,104,True,True,correct,libero_10,1,27,put both the cream cheese box and the butter in the basket,126.48993903491646,validation,7,7,task_31_demos_04,per_init_ordinal,20260911,27,31,31,libero_10,1,[4],[4],[21],244,50,True,1,,libero_10,1,27,put both the cream cheese box and the butter in the basket,197.24401595629752,validation,7,7,,,,,,,,,[],[],[],,,,
libero_10,1,28,put both the cream cheese box and the butter in the basket,source_validation,0,0,520,520,True,True,True,True,True,104,104,True,True,correct,libero_10,1,28,put both the cream cheese box and the butter in the basket,158.0067532658577,validation,7,7,task_31_demos_20,per_init_ordinal,20260911,28,31,31,libero_10,1,[20],[20],[37],271,55,True,1,,libero_10,1,28,put both the cream cheese box and the butter in the basket,197.65244224481285,validation,7,7,,,,,,,,,[],[],[],,,,
libero_10,1,29,put both the cream cheese box and the butter in the basket,source_validation,0,0,520,520,True,True,True,True,True,104,104,True,True,correct,libero_10,1,29,put both the cream cheese box and the butter in the basket,161.02946295961738,validation,7,7,task_31_demos_25,per_init_ordinal,20260911,29,31,31,libero_10,1,[25],[25],[42],244,50,True,1,,libero_10,1,29,put both the cream cheese box and the butter in the basket,198.1873551448807,validation,7,7,,,,,,,,,[],[],[],,,,
libero_10,1,30,put both the cream cheese box and the butter in the basket,source_validation,0,1,520,426,True,True,True,True,True,104,86,True,True,correct,libero_10,1,30,put both the cream cheese box and the butter in the basket,130.12130836956203,validation,7,7,task_31_demos_46,per_init_ordinal,20260911,30,31,31,libero_10,1,[46],[46],[13],242,50,True,1,,libero_10,1,30,put both the cream cheese box and the butter in the basket,151.1298142648302,validation,7,7,,,,,,,,,[],[],[],,,,
